id,text,tags,correct
1258293762670936064,Did any News Channel tell you that in  the latest Gallop survey 82% of Pakistanis are satisfied with Imran Khan’s handling of CoronaVirus Pandemic? It is the 4th best rating in the world.,,y
1258053124893347841,The Fake News has reached an all time high!,,y
1258318157749633024,"The US military is banning anyone who had COVID-19 from enlisting, according to a new memo https://t.co/ykFHrCNKHy (via Business Insider) #news #Trending #TrendingNews",news Trending TrendingNews,y
1258319351452745728,@SDC_newsdesk morning news desk are you reasonable for removing shopping trolleys. If so there’s some Asda and Iceland trolleys full of garden waste and various other rubbish dumped in farm avenue Swanley by the post box junction with brook road thanks,,y
1258276157218152453,The Masked Singer US: Kitty unmasked as America’s Got Talent star Jackie Evancho - https://t.co/o91tvJPfzo#breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews#newspaper #instanews #headlines https://t.co/YmhnGsFD2H,breakingnews,y
1258036182241460227,"We're delighted to announce that we will be piloting remote exam sittings in May and June, following a successful two-week testing period.The news was announced today in a webinar with centres.Find out more: https://t.co/q3Ma19Lbuw https://t.co/qiAUl7hzI1",,y
1258065118149193729,@JadeParkes Thanks @JadeParkes. That’s fantastic news and well deserved. You’re a fantastic #teacher and the #school will be a great place to work and gain your #NQT status. #congratulations #PGCE #Newjob #traineeteacher #wearetheOAKS,teacher school,n
1258298732917018627,Hahahaha is it's just me or is there a similarity between this hashtag #RoksiePepperDem and this morning news papers 😂😂Thank u @specialBreed8 for suggesting that hashtag and Roknation for voting that hashtag as if we all knew what was coming today💃 #RoksiePepperDem https://t.co/AelHyaRuQa,RoksiePepperDem,n
1258289766732148736,🧚🏻‍♂️LOVE Yoshiki💕Join us now💫Sign up now to share news about #Yoshiki and you could win prizes!#TeamYoshiki ❤️💖❤️💖❤️💖💕✍🏼🆓to sign up here 👇🏻👇🏻👇🏻https://t.co/giQ4KpseX4,Yoshiki TeamYoshiki,n
1257966576973692928,BREAKING NEWS : NDTV uses “terrorist” word instead of the usual “activist”. 😀😀👏🏻 https://t.co/mZLgGAGodU,,n
1257245223370911744,BREAKING NEWS: President Duterte distributes relief goods during the COVID-19 crisis.(a short stop-motion film by me!) https://t.co/cGzhrV0QI5,,y
1258304670943940611,Heart breaking news !! Hope the government is doing its best to contain the situation. Just when we thought things couldn’t get worse this happens. My prayers to all the people of Vizag. God help them all 🙏🏻 #VizagGasLeak,,n
1258318706163228673,BREAKING NEWS #newpost #Χαλκιδαhttps://t.co/uyEw4xoYsz,newpost Χαλκιδα,n
1258320586880815104,@JamesClayton5 Why? Are the residents refusing to take them or the care workers refusing to do them? Why isn’t @piersmorgan banging on about this? If it was the less vunerable refusing to do this (i.e fit &amp; healthy young people) he’d be ‘BREAKING NEWS’ all over the place...,,n
1258079627215622144,[BREAKING NEWS] eNCA anchors Xoli Mngambi and Jane Dutton have been SUSPENDED following their distasteful comments on Dr Nkosazana Dlamini-Zuma Q: Who approved this? surely there are editors; producers who must also be suspended? https://t.co/A7aCz8Wnib,,y
1258196758464782336,BREAKING NEWS: This is the scene at 62nd and Michigan. Angry residents of the City of Indianapolis after a video appears to show a man being killed by Indianapolis police on Facebook Live. https://t.co/fI9gbJkO6w,,y
1258314709440229376,There is a growing tussle between #Australia and #China over #Coronavirus👈 #latestnews #breakingnews👆 #trendingnews #trendingtopic #latesttrend👈 https://t.co/kvxJp9wbfI,Australia China Coronavirus latestnews breakingnews trendingnews trendingtopic latesttrend,y
1258314027664474113,How to Stop Bill Gates – We Need Everyone to Write NOW! - https://t.co/zBlLxCeS8j#breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews#newspaper #instanews #headlines https://t.co/fP7Ddix9dW,breakingnews news Latestnews newsupdate newsdesk trendingnews newspaper instanews headlines,n
1258314207591727104,"India looks to lure more than 1,000 US firms out of China - https://t.co/iShFz3bnVf#breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews#newspaper #instanews #headlines https://t.co/9qxcNAGYsU",breakingnews news Latestnews newsupdate newsdesk trendingnews newspaper instanews headlines,y
1258315219962597378,The latest Pro-Bono Daily News! https://t.co/2w4BEWlsd1 Thanks to @NCBAorg @half_witt @levey_studio #biglaw #latestnews,biglaw latestnews,n
1258211451358998529,#BreakingNews In the middle of Australias most deadly #pandemic #DanAndrews threatened Australians with jail at the same time he allowed certain cultures to have weddings and hid #Covid_19 breakout in #cedermeats to protect a cultural group. #auspol #qanda #insiders #TheProjetTv https://t.co/XuqeY9Hd0V,BreakingNews pandemic DanAndrews,y
1258315126689673216,#BREAKINGNEWS British Airways: BA flights will make 'meaningful return' in July say airline bosseshttps://t.co/0hnSYZ7oAg https://t.co/3sPG1OulfC,BREAKINGNEWS,y
1258031587385462786,Pope Francis appeals for prayers for journalists and media workers who are always at risk as they continue to deliver news about the pandemic. https://t.co/5ouKg8as2V,,y
1258300736275808256,FAKE NEWS Propagation by Fake Tweets by @inturipunch during #VizagGasLeak NarraSrinivasChowdary = 21 CharactersTwitter Username Character Limit = 15 CharactersAre you going to take any action on this handle @APPOLICE100 ? ? ? https://t.co/jg8fxgEz6M https://t.co/H2sb05sBIZ,VizagGasLeak,n
1258314588703150082,💥1💥 Breaking News 💥💥Take advantage of your offer with namshi WebSite 🛒 only when you use my special namshi promo code ✅ 👇👇 Use coupon 👇👇 كود خصم نمشي 🔴 TGM2 🔴  👈🏿👈🏿  خصم حتي 30 %. https://t.co/0UEMsPEqbN,,n
1258315512578281472,"Former Archbishop of Canterbury urges churches to reduce ‘lethal dependence’ on fossil fuels - Premier Christian News  |  Headlines, Breaking News, Comment &amp; Analysis https://t.co/OxwavrDAOe",,y
1258137005713653760,BREAKING NEWS- SHOCKING ——————————————The Raving Monster Looney Party is #rebornA party 🥳 within #UKLabour led by #DickBurgon 👇👇👇👇👇👇👇#RichardBurgon now Secretary of Socialist Campaign Group in @UKLabour #unelectable 🤡🤡🤡 https://t.co/5QGj5b86Vi https://t.co/MfWaiECFaY,reborn UKLabour,y
1258217505811816453,"This: $1.4 million raised, 15+ million views, tens of thousands of new members, space in Trump's head, OANN breaking news, press attack by Pascale/MAGA Grift LLC. ROI on $5k investment in :60 on poor Tucker's show. @ProjectLincoln delivers &amp; diverts Trump from Biden or ""message.""",,y
1257848304865550336,Reuters’ jaw-dropping images from the 2019 Hong Kong protests just won the Pulitzer Prize for breaking news photography (warning: distressing) https://t.co/9437KHgEzh,,y
