id,text,correct
1254855047776616448,"All I'm gonna say is being in the version of the simulation where a company raises $80m (including some from FF), to run large-scale LSD treatment centers is uhm... radBicycle Day 2021 here we come🍄🍄🍄https://t.co/mfN20x5EQU https://t.co/TDs3D07rLr",n
1254769296280031232,"FAKE NEWS, THE ENEMY OF THE PEOPLE!",n
1254518803888734217,Breaking News: sources tell me @GenFlynn will be completely exonerated this week.  It was a total fraud.  A Set up.  More tomorrow @MorningsMaria @FoxBusiness @FoxNews @SundayFutures,y
1254854941413445634,7 killed in 2nd alleged Israeli airstrike in Syria in a week https://t.co/goPkemYO2r,y
1254768973901676544,🇺🇸“We The People” Stand For America🦅🇺🇸   #VoteRedToSaveAmerica❤BREAKING NEWS: Why Is FDA Playing Politics with New Warnings on Hydroxychloroquine? Why Would they Put American Lives in Danger?#KAG 🇺🇸VOTE #Trump2020 🇺🇸 #2A4Life💪#PaintOurCountryRed 💗https://t.co/nLOW7gCZxW,y
1254835842419290113,BREAKING NEWS:Planned Parenthood injured a woman in a botched abortionIt dumped the patient on a busy ER trying to fight the coronavirusPlanned Parenthood does NOT care about women!It ONLY cares about killing babies for profit!#MondayMotivationhttps://t.co/1EQpnVmOPP https://t.co/9oYBRr7t3V,y
1254848065497899008,BREAKING NEWS: Shelter-in-place orders extended until May 31 in six Bay Area counties: https://t.co/U2kxQ85nJJ,y
1254800311211958273,Breaking News: Tocilizumab randomized trial shows efficacy in hospitalized COVID patients 129 patients. Tocilizumab treats cytokine storm. Toci patients had less death/need for vent vs controls. https://t.co/iGbESl5QRh @matthewherper @Mohty_EBMT @ASlavitt @choo_ek @DrSidMukherjee https://t.co/gxuGkpPFOy,y
1254816682368892928,"It has been 4 years since Shaktiman, the police horse, lost his life to 'protestors' who beat him blue to prove their point https://t.co/7XKCB5lVMINeither @BJP4India nor @INCIndia really took up the case post initial political points. Media too moved to other breaking news... https://t.co/SUshTW3vPM",y
4895687384,BREAKING NEWS: A 6-year-old boy is floating away in a hot air balloon. Watch live: http://www.cnn.com/live,y
1254854993867227136,"BREAKING NEWS: Pennsylvania Governor Tom Wolf Announces Statewide Reopening of Limited Outdoor Recreational Activities, Including Golf Courses Beginning May 1st. https://t.co/jmqu9hCrpn",y
1254855024837980161,"BREAKING NEWS:President Buhari  approves a phased and gradual easing of lockdown measures in FCT, Lagos and Ogun States effective from Saturday, 4th May, 2020 at 9am. https://t.co/ncqcVTGKhQ #PlusTVAfrica #LockdownEnd https://t.co/vLgDFPlZFZ",y
1254855025236402178,Breaking news from @cher https://t.co/NuKhRYlbfj,n
1254070333491085317,.@GoodmanHoops is not afraid to piss off coaches or fan bases. He tells it the way it is. Your reputation is everything as a breaking news reporter. People have to trust you. #TerrificTalk https://t.co/HxSnINwaZd,n
1254737288736788480,"@seemagup 🌍🇪🇸🇮🇹 Countries in #Europe hardest hit by the coronavirus, including #Spain and #Italy, are preparing to ease lockdown as signs show the curve of infections is flattening ⤵️Read more ➡️ https://t.co/6FRFIpHNrG https://t.co/rAzrOl8j7e",y
1254854548037881856,"#EuropeanUnion Have guts now. Any which ways you have exposed as a third grade countries, now try to fight China. Cowards. #Europe #European #Union",n
1254853191658766336,Donald Trump Jr.: Adam Schiff 'desperately trying to hide' Russia investigation witness transcripts https://t.co/veJjJAWYmU,y
1254855014406709249,WATCH: Gov. Abbott Addresses Reopening of Texas Economy https://t.co/G47hx5FUjb,n
1254813451031117826,"New Zealand has declared it has effectively eliminated COVID-19, as the number of new daily infections remains in single digits—while businesses are preparing to reopen on Tuesday as restrictions ease in efforts to reboot the nation’s economy https://t.co/Hi9fxEzwB2 https://t.co/8cGi1ug1wr",y
1254852819728941057,Our goal was to develop implementable policies that will ensure our economy continues to function while still maintaining our aggressive response to the COVID-19 pandemic. These same difficult decisions are being faced by leaders around the world.,y
